GeneSet DESC Genes
GO_N_GLYCAN_PROCESSING http://www.broadinstitute.org/gsea/msigdb/cards/GO_N_GLYCAN_PROCESSING EDEM1,MAN1A1,EDEM3,MGAT4B,MAN1C1,PRKCSH,FUT8,ST8SIA4,EDEM2,GNPTG,GNPTAB,ST8SIA3,ST8SIA2,MAN2A2,MGAT4A,KIAA2018,MAN2A1,MAN1B1,MGAT4C,MAN1A2
GO_INORGANIC_ION_IMPORT_INTO_CELL http://www.broadinstitute.org/gsea/msigdb/cards/GO_INORGANIC_ION_IMPORT_INTO_CELL STEAP4,SLC8A3,TFR2,STEAP2,PICALM,TRPM2,PAWR,STEAP1,STEAP1B,STEAP3,ATP2B4,HFE,SLC9A1,SLC31A1,TF
GO_ENDOPLASMIC_RETICULUM_TO_CYTOSOL_TRANSPORT http://www.broadinstitute.org/gsea/msigdb/cards/GO_ENDOPLASMIC_RETICULUM_TO_CYTOSOL_TRANSPORT RYR1,CCL3,FAF2,HSP90B1,DERL2,TMEM129,NOL3,SEC61B,RYR2,AUP1,SEL1L,VCP,DERL1,TRDN,UFD1L,HERPUD1,FKBP1B,SELS,HM13,NPLOC4,RHBDD1,SYVN1,CCR5
GO_NEGATIVE_REGULATION_OF_REPRODUCTIVE_PROCESS http://www.broadinstitute.org/gsea/msigdb/cards/GO_NEGATIVE_REGULATION_OF_REPRODUCTIVE_PROCESS ZFPM2,PRKAR1A,SNAI1,MOS,NPR2,RAD1,AMH,HORMAD1,TIMP1,ASTL,NANOS2,GPR149,BMP7,ACVR1C,OSM,BMP4,NR5A1,MSH2,FBXO5,PRKACB,CDKN1B,ZP2,WNT4,WDR77,WEE2,EAF2,OVOL1,DUSP1,SULF1,WT1,ZP4,LIF,CSN2,STK11,NKX3-1,FBXO43,PRDX4,OVGP1,SERPINF1,ZP3,WNT5A,HPGDS,GPR44,IGF1,NODAL,PTGDS,ADA,DMRT1,SPINK13,RPS6KA2,STRA8,ARHGDIB,PRKACA,NPPC
GO_G_PROTEIN_COUPLED_PURINERGIC_RECEPTOR_SIGNALING_PATHWAY http://www.broadinstitute.org/gsea/msigdb/cards/GO_G_PROTEIN_COUPLED_PURINERGIC_RECEPTOR_SIGNALING_PATHWAY ADORA1,P2RY10,P2RY12,GNAI2,P2RY6,P2RY8,ADORA2A,PTAFR,P2RY2,ADCY5,P2RY4,ADORA2B,P2RY14,GPR171,P2RY11,P2RY13,ADORA3,GPR87,GPR34,P2RY1
GO_MEMBRANE_DEPOLARIZATION http://www.broadinstitute.org/gsea/msigdb/cards/GO_MEMBRANE_DEPOLARIZATION SCN1A,PARK7,SCN8A,PRKCZ,CDKN2A,CACNA1F,SCN9A,ATPIF1,CASP1,NALCN,CACNA1A,CATSPER4,CHRNA4,JUN,CACNA1H,CHRNA6,SCN5A,YWHAH,CACNG2,CATSPER1,SCN2B,SCN11A,CACNB4,SLC8A1,TPCN1,CACNB2,ADIPOQ,EDN1,CACNA1D,CATSPER2,KCNJ2,SCN4B,CACNA1G,CACNG4,CACNB3,P2RX7,CHRNB2,CATSPER3,ABL1,CACNA1C,MLL,P2RX4,ATP1A2,SCN2A,SCN3A,ANK2,CAV1,C9orf7,CACNA1E,BEST2,CACNA2D1,SCN4A,CACNA1I,SCN3B,SCN1B,SCN10A,CACNA1B,CACNA1S,KCNH2,TPCN2,SCN7A
GO_OLFACTORY_BULB_INTERNEURON_DIFFERENTIATION http://www.broadinstitute.org/gsea/msigdb/cards/GO_OLFACTORY_BULB_INTERNEURON_DIFFERENTIATION ROBO1,ROBO2,ATF5,SLIT2,SALL1,UNCX,ARX,WNT5A,ERBB4,SALL3,SLIT1,RAC1,GSX2,FGFR1,SLIT3
GO_POSITIVE_REGULATION_OF_G_PROTEIN_COUPLED_RECEPTOR_PROTEIN_SIGNALING_PATHWAY http://www.broadinstitute.org/gsea/msigdb/cards/GO_POSITIVE_REGULATION_OF_G_PROTEIN_COUPLED_RECEPTOR_PROTEIN_SIGNALING_PATHWAY CAV2,CNTN2,KLK14,GPR44,TMOD2,ACPP,PDE6H,NOS1,C3,DRD3,F2,PHB,PRMT5,KLK6,DRD2,KLK5,ECE1,UBQLN2,GSK3A,GPR27,LRRK2,CHGA,GPER,PDE6G,ARRDC3
GO_ATTACHMENT_OF_SPINDLE_MICROTUBULES_TO_KINETOCHORE http://www.broadinstitute.org/gsea/msigdb/cards/GO_ATTACHMENT_OF_SPINDLE_MICROTUBULES_TO_KINETOCHORE SGOL1,CHAMP1,BRCA2,TEX14,AURKC,CENPE,BUB3,ZNF207,AURKB,NDC80,RB1,SEH1L,CASC5,FAM175B
GO_REGULATION_OF_LYASE_ACTIVITY http://www.broadinstitute.org/gsea/msigdb/cards/GO_REGULATION_OF_LYASE_ACTIVITY ADCY4,OPRM1,ADCY3,NOS1,WFS1,ADCY6,GALR3,LTB4R2,GRM3,DRD1,GNAL,CALM2,GUCA1A,RAF1,GUCA2A,PALM,GPER,GNAI3,GRM7,ADCY8,DRD4,ADCY1,GUCA1B,ADORA2A,GABBR1,GLP1R,ADORA2B,P2RY11,PDZD3,RCVRN,CRHR1,FXN,ADRA2A,GPR87,ACR,FSHR,GNAI2,VIPR2,GRM2,CALCA,CCR2,PHPT1,EDNRA,ADCY5,TSHR,CALM1,NPFFR2,RUNDC3A,DRD3,DRD2,ADCY9,HPCA,NF1,CALCR,ADCY7,GIPR,GABBR2,TIMP2,LHCGR,GUCA2B,ADRB2,NOS3,DRD5,CALM3,CAP1,PRKCA,ADCY2,AVPR2,NOS2,P2RY13,GNAS,GHRHR,GALR1,GUCA1C,PARK7,VIP,EDNRB,ADRB3,GPR133,AKAP5,ADRB1,FTMT,ADCYAP1,MTRR,GALR2,CAP2
GO_RESPONSE_TO_NITROGEN_COMPOUND http://www.broadinstitute.org/gsea/msigdb/cards/GO_RESPONSE_TO_NITROGEN_COMPOUND SEPN1,CALM3,CDKN1A,AQP9,KCNK1,KIAA0528,ENPP1,GNG12,AKR1B1,RYR3,PLCB1,RNLS,INPPL1,EEF2,CITED1,GABRB2,BAIAP2L1,CAD,COLEC12,AKAP6,IL1B,DRD2,SLC9A1,PRKCI,SELL,GSN,LPHN3,CHRM5,IL10,HDAC2,REN,IMPACT,ABCC2,PDX1,CYP17A1,CIB2,PPARGC1B,GHRHR,FLOT1,CASP1,CPEB4,FOXC2,EREG,PARK2,GPRC6A,ATP6V0D2,TRIM16,EP300,GNA11,IFNA13,ZNF354A,RPTOR,PTAFR,PAK1,IFNB1,IGFBP5,ATP6V0E2,AREG,KCNJ11,CCR7,PHIP,KCNC2,MOG,UQCRC1,P2RX7,ATP6V0D1,DRD1,P2RX1,HMBS,HNF4A,TREM2,SMAD3,CRHBP,PTEN,IFNA4,ADSS,COL16A1,GNB3,SOS1,TFF1,PDE3B,FOXO4,ADCY5,SOD1,PIK3C3,AQP8,SPHK1,IFNA2,EGFR,BCAR1,HTR2A,KLF10,GNG8,BMP4,AGXT,GSTP1,P2RX5,SSTR5,ATP6V0A1,AP3S1,EIF2AK2,SRC,SLC8A3,GSTM2,MDM2,PMAIP1,PPP3CA,STS,STC1,P2RY12,APOC3,AKT1,ATP6V0B,KLF1,FOSL1,CHRNB2,CYBA,EGR2,DHX15,AACS,GFPT1,GNB1,SLC6A4,GHR,PELI1,HPCA,TNFSF4,MAVS,DICER1,TLR3,RANGAP1,ATP6V1B2,ATP6V1B1,HIF1A,ADRBK1,PDXP,SMAD1,BSG,GCGR,GRB2,MAPK9,RRAGC,SH3BP4,DDIT3,LYN,ADIPOQ,UFL1,MOSC1,PPP1R15A,RAD51,GRB10,CHRNG,GABRB3,MGST1,ATP6V1G1,GCNT1,ADCY2,GNB4,GABBR1,TIAM1,PRKCQ,CAPN2,EIF2C2,ADCY1,CHRM4,BAIAP2L2,NTRK2,GPER,HMGCS2,ATP6V0C,NR4A2,AGRP,CHRNA3,ZEB1,HCRTR1,IGF1R,COL6A1,SRD5A1,HOMER1,ATP6V1D,THBD,STXBP4,CARM1,CYP11A1,SLC7A11,PEA15,NFKB1,LTA4H,TSPO,PSMB9,CALM1,SPARC,EIF2B2,SHMT1,ATP4B,CTNNA1,JUND,CCL5,SLC6A3,TH,IDE,STAT3,PSMB2,GNAQ,SLC26A3,IRF5,SLIT2,MC4R,HCN3,CDK2,TRPV4,SLC25A33,INS,SCAP,MBD1,GGH,SH2B2,STAT5B,CAMK2A,HRH1,HNRNPD,COL5A2,APEX1,TARBP2,ATRX,SELS,ADCY7,IFNW1,TRDMT1,HRH3,CRY1,KHK,UCP3,IL6,WNT1,PRKAR2B,IFNA21,CARD9,PDE3A,RETN,NOD1,CDK5R1,F7,RRM2B,PTK2,ACVR1C,CHRNA5,BCL2,DUOX2,APPL1,NPM1,FZD1,BLM,RRAGD,GABRA1,PDK4,MRPL44,HCRTR2,RFTN2,SREBF1,LEP,LAMTOR1,BIRC2,RAPGEF1,DAG1,IRS2,OXTR,DBH,BTG2,PPARGC1A,HTR3A,UBR2,EIF4EBP1,CPEB2,BAIAP2,UROS,ATP1A2,ADA,DNMT1,ADCY6,NELF,NME1,PTGS1,PRKACA,GLRB,SOX9,DDX21,RELA,ADAR,IFNA1,BRAF,SLC8A1,IGFBP1,SOCS7,JAK2,CTGF,DROSHA,PKLR,FOS,NR1H4,PDGFC,MEF2C,PFKFB1,GHSR,PER1,SOCS1,PTPN22,SDC1,PPARA,CHRNA4,AIF1,CASQ2,TAC1,TMEM173,PPAT,CREB1,PTN,DRD5,CHRM2,VAMP2,SLC27A1,NOX4,ASNS,RRAGA,HDAC5,CPEB1,CHRNA1,SLC6A1,METTL3,TIMP3,MTOR,UCP2,SRRT,TEK,FYN,EGLN1,STAT6,C5AR1,KLF6,ALAD,SORT1,LPIN1,COL1A2,IFNK,ANXA5,ALDOB,GUCY1B3,CHRNA7,RALB,PLAU,GABRG2,MAS1,RHOQ,ATP6V1F,STXBP3,GNA15,CEBPB,MYO5A,PRKAA1,DIAPH1,GAB1,ATP6V0A4,ADCY8,OTC,SLC2A2,P2RY2,NFKBIA,ATP6V1C2,RAB10,GSTM1,EIF2B5,ATP7B,CA2,SLC3A2,SDK1,CSH1,CDK1,RAP1BL,MAPK3,DHFRP1,BCHE,ID1,CAPN10,BAD,WDTC1,RYR2,ICAM1,KIAA0146,NKX6-1,ANXA1,CNGA3,ATP6V0A2,PPP1R9B,DHX36,CRH,SST,EDNRA,IL1R1,CHRND,HCN1,CFTR,PYGM,PDGFB,TMED10,BMP7,GPLD1,TSC1,AQP1,CDKN1B,IL1RL1,PRKAR2A,ITPR2,HLCS,GPAM,GNB2,STAT1,GRIN2A,SLC34A1,P2RY11,RXRA,KIAA0889,GSS,ITGA2,SRD5A2,MGST2,GNRH1,WT1,DUSP1,SSH1,QRFPR,NEFH,IRF3,CPS1,POR,ATP6V0E1,FABP3,CDK5,ATP6V1G2,VCAM1,LRP6,GLP2R,KCNE1,CTSB,C7orf59,CNR1,DDX1,JUNB,ADM,IFNA17,GPR152,EIF2C1,SHC1,C4orf49,AKAP7,HNRNPA2B1,P2RX2,PPP2R2A,GH1,SIN3A,TICAM1,MMP3,GRIN1,TACR3,KYNU,PTPN2,COL4A1,DGCR8,JUP,PIK3CG,MMP19,EDN1,SESN2,PRKDC,UPRT,PLA2G4A,KLF2,FLT3,GLRA1,GNG10,SDC2,PIK3R3,AGT,KCNJ8,TPO,AKAP9,PIK3C2A,MAPK1,ABCG2,DHFR,GOT1,SLC26A6,IFNE,FOXO1,RAP1B,VLDLR,GNAI1,CSK,SLC1A2,ALDH3A1,HNRNPK,MUL1,IGF1,STAT5A,QDPR,HMOX1,PIK3R1,PPARG,PTK2B,PRKCD,ABP1,GNAO1,P2RX3,PRL,TIMP4,YWHAG,GNAI2,HCN2,AVPR1A,SMPD1,ABAT,ATP2A2,SNCA,MEN1,MTHFR,AHCYL1,NEFL,FBN1,OGT,PRKRA,SSTR3,BAX,GNG5,UROD,COL3A1,IRS4,AIFM1,PLA2G5,TP73,ERBB2IP,ERRFI1,CAT,CCL2,CAV1,LAMTOR2,PRLH,IPO5,RAB13,IGF2,TNF,PDE2A,LIN28B,IFNA7,PKM2,PDE1B,ACTN2,SLC2A8,PARP1,RAPGEF3,RFTN1,O3FAR1,CXCL12,KLF15,RYR1,GH2,DGKQ,IFNA10,AVPR2,MOSC2,CPEB3,MT3,OXT,ATP6V1E1,GJA1,ABCC8,PLA2G1B,EGR1,BDH1,ASPH,CHRNB4,HMGCS1,NOTCH1,APP,KAT2B,IFNA8,MTR,PPP1R1B,KLF3,CDO1,DENND4C,MGMT,P2RX6,ATP6V1G3,STC2,TYMS,PRKAR1A,EIF2B4,TYR,FER,TRPV1,CNR2,TBC1D4,NPFFR2,KCNC1,RIPK2,CCND1,XBP1,GLRA2,TERT,RAB8A,HSD11B2,CCNE1,SOCS2,NTRK1,PRKCZ,GNG4,STAR,APLP1,GLP1R,SORBS1,GNG7,NEURL,PRKAR1B,NPFFR1,SLC38A9,GLRA3,TRPC3,DPYSL2,AGTRAP,SRSF5,SLC18A2,CYP11B2,OPRK1,HRH4,GSTM3,GNRHR2,MAP3K5,NAMPT,SIRT1,ATP6V1A,GPR22,DUOX1,PANX1,TMBIM6,P2RX4,IFIT1,COL1A1,HDAC9,GIP,PDPK1,NRF1,ADCY9,CYC1,RAPGEF2,RPS6KB1,MMP2,BRCA1,DDC,MB21D1,PXN,GCK,TIMP1,LAMTOR3,DNMT3B,PIK3R2,LIPC,ITPR3,PRKCG,APRT,GNAS,JAG1,IRS1,AARS,INSR,SNIP1,HADHA,AVPR1B,SSTR2,ARG1,CROT,KL,PRKACG,DRD4,DNMT3A,BCL2L1,LRRK2,PENK,LIN28A,NTS,SLC2A4,MGST3,EIF2C3,GPR173,GLRA4,AGRN,ATP2B4,RXFP4,NOS1,CHRNA2,AKT2,FOXM1,HSP90B1,INPP5K,GNG11,PAX4,GNAT3,TACR1,OPRM1,CASP3,ZCCHC11,JAK3,PIK3CA,SIRT2,AGTR2,GAL,GABRB1,TRIB3,DHODH,HNMT,RGS8,CDH1,CREM,CDC5L,IFNA14,PRKACB,CTNNB1,CRHR1,RNF40,RAB31,CAV2,EIF2C4,PDGFD,PLN,AGTR1,KCNQ1,RPE65,INSIG2,PDE4D,WNT10B,NDUFS4,FAS,DDX58,PCSK9,ADRB2,HTR2B,UBD,FGA,PPP5C,NAIP,ARHGEF2,NPPA,CHRM1,GNRHR,ABL1,CDC6,CHRNE,IFNA16,ZC3HAV1,NR4A3,SOCS3,SMARCC1,GPIHBP1,HTR1B,EFTUD2,IL17A,DPEP1,PTPN1,DRD3,EIF4EBP2,CHRNA6,TCIRG1,PTPN5,EPB49,FOSB,GCG,FOLR1,PEMT,AKAP5,PTGER4,USF1,ASS1,AANAT,LDHA,PRKCE,NOD2,GALP,HPRT1,CYP2E1,PDK2,CHRM3,EIF2B3,NR4A1,IL13,GPD1,CCL19,KLF4,JUN,UMODL1,PDE4B,ASCL1,GSK3A,TNFAIP3,CHUK,GNG2,NPFF,CYP11B1,MAPK14,CCNA2,EPM2AIP1,SMAD2,GSK3B,CHRNB3,FOLR2,SRR,IFNA5,CALM2,EIF2B1,DNM2,VGF,IRAK3,HBXIP,MAX,EEF2K,RRAGB,IFNA6,AKAP1,SLC5A5,CHRNB1,ADCY3,SSTR4,RGS10,ADCY4,PRLR,PTPRA,INHBB,CASP4,ATP6V1E2,PTPRN,PTGS2,OGG1,TRAF2,ATP6AP1,NLRP1,AVP,PCK1,ATP6V1H,NNMT,GNG3,EZR,CRHR2,HADH,SSTR1,SLC22A6,GNG13,HCN4,SFRP1,RAP1A,APOBEC1,ATP6V1C1,UBR1
GO_NEGATIVE_REGULATION_OF_TRANSMEMBRANE_TRANSPORT http://www.broadinstitute.org/gsea/msigdb/cards/GO_NEGATIVE_REGULATION_OF_TRANSMEMBRANE_TRANSPORT SEMG1,TWIST1,AGT,SPINK1,NEDD4L,FAM115C,TGFB1,OAZ2,C19orf26,GRK6,PRKCE,MMP9,GSTO1,SPINLW1,TLR9,FMR1,ACTN2,SLN,FKBP1B,APOA2,SLC9A3R1,KEL,CAV3,YWHAQ,DRD2,PKD2,KCNE3,DRD3,CAV1,KCNAB1,KCNRG,MTOR,CRBN,COMMD1,NEDD4,SLC30A1,OAZ3,KCNE1,EPO,OAZ1,AKT1,OXSR1,KCNH2,APOC3,CAB39,HAMP,CTTNBP2NL,PCSK9,CALM3,THBS1,OPRL1,CASQ2,GSTM2,FCRL5,SUMO1,ANO9,KCNQ1,PLN,CRHR2,CAMK2D,GNB5,PPIF,CRHR1,CLIC2,ADRA2A,STK39,KCNE2,MTNR1B,CALM1,M1,NTSR1,TRIM27,AKT2,ATP1A2,SRI,CALM2,ANK3,SLC26A5,UBQLN1,FGF12,IRS2,PTGER3,KCNE1L,TRDN,PAWR,DRD4,FKBP1A
GO_REGULATION_OF_DNA_RECOMBINATION http://www.broadinstitute.org/gsea/msigdb/cards/GO_REGULATION_OF_DNA_RECOMBINATION TNFSF13,KPNA2,SIRT6,TGFB1,CLCF1,RTEL1,PRDM9,PPP4C,IL7R,MSH2,THOC1,EXOSC3,PAXIP1,BLM,MSH3,UNG,CD40,FIGNL2,IL10,SUPT6H,IL4,TERF2IP,KDM1A,IL27RA,HELB,RAD51,FBXO18,BCL6,RAD50,STAT6,KIAA0146,FOXP3,C12orf48,TERF2,IFNG,UBE2B,PPP4R2,MLH1,TNFSF4,MRE11A,APLF,NDFIP1,CHEK1,IL2,FIGNL1,CD28,POLQ,SMARCAD1,FIGN,TEX15,MSH6,THOC4,WHSC1,KPNA1,RAD51AP1,TBX21,ZRANB3,RPA2
GO_REGULATION_OF_LEUKOCYTE_PROLIFERATION http://www.broadinstitute.org/gsea/msigdb/cards/GO_REGULATION_OF_LEUKOCYTE_PROLIFERATION IL6ST,BCL6,BCL2,CD74,PLA2G2D,IL10,TICAM1,CD86,IGFBP2,IL27,ST6GAL1,HAVCR2,LILRB2,TGFB1,LST1,TLR4,HLA-DRB1,IL12A,DLG1,PYCARD,EFNB1,VCAM1,IDO1,CDKN1A,IL18,RAC2,STAT5B,RASAL3,BTN2A2,PYDC1,IL1B,CD24,IL6,HMGB1,IL23R,TNFSF9,ZP3,EPO,AHR,CD59,CD209,WNT3A,IL5,NCK1,CD81,TNFSF18,CCR2,HLA-DRB3,IKZF3,CASP3,JAK3,TNFRSF14,SOS1,GAL,SOX11,AIF1,RIPK3,TAC1,HLA-E,PTPN22,CLEC4G,TIRAP,GSTP1,IL12RB1,MEF2C,TCF3,CD40LG,CD244,CTNNB1,XCL1,BMP4,PTH,DNAJA3,FGF10,VTCN1,IRS2,CD46,CD6,IL3,HLA-DMB,TNFSF13B,BST1,LEP,ZP4,IL12B,KIAA0922,NCKAP1L,TACR1,NFATC2,ADA,GREM1,CSF1,PDE5A,TNFRSF4,PRNP,ATM,PRDM1,IGF1,IL2,CD1D,CD38,IL15,ZNF335,PKN1,SHH,LYN,IL23A,SYK,NCK2,RLTPR,RC3H1,C20orf123,FOXP3,FLT3LG,MIF,ADK,IGF2,CARD11,FOXJ1,C10orf54,CCL19,PTPRC,IL13,CEBPB,CD274,TRAF6,CD55,MARCH7,CDKN2A,HLA-DPB1,INPP5D,EBI3,CD80,SCGB1A1,IL21,IL7,TNFRSF13C,LGALS3,CD4,VAV3,CD3E,HLA-A,IL2RA,PELI1,TNFSF4,MNDA,ITCH,CTLA4,HHLA2,CD28,FADD,CLC,CHRNB2,CCDC88B,PTPN6,SASH3,TNFRSF21,CCL5,CD300A,MAD1L1,HLA-G,LMO1,IL4,IFNG,IL20RB,RIPK2,KITLG,PRKAR1A,SPTA1,ANXA1,MZB1,GNRH1,SLC39A10,LGALS9,IRF1,CLCF1,GPR183,TNFRSF13B,SPN,CD40,PDCD1LG2,SFTPD,TMIGD2,CD276,HLA-DPA1,HLA-DRB5,ERBB2,GPAM,PAWR,TNFAIP3,HLA-DRB4,PNP,CORO1A,DHPS,PRKCQ,AGER,NDFIP1,CCL8,LILRB1,ZAP70,IHH,PLA2G2F,GLMN,ICOSLG,SLAMF1,HES1
GO_RESPONSE_TO_ETHANOL http://www.broadinstitute.org/gsea/msigdb/cards/GO_RESPONSE_TO_ETHANOL DBH,KCNC2,SLC2A4,BIRC2,PENK,LEP,NKX2-1,DRD4,EPS8,DNMT3A,ESR2,INSR,EP300,SETD7,OPRM1,PTEN,SETDB1,CRHBP,TACR1,SPI1,DNMT1,NOS1,HTR3A,EIF4EBP1,IL2,DRD1,SPTBN2,SOD1,PTK2B,BAK1,LCT,GSTP1,ATP5G3,PTH,ABAT,ADCY7,SDF4,VCAM1,OPRK1,POLB,GK,CA3,STAT5B,NTRK3,GGH,HMGCR,IL1B,RPS6KB1,DRD2,UGT1A1,CCL7,ADH6,RARA,EEF2,CNR1,CTSB,HDAC2,MAOB,ADCYAP1,OXCT1,CASP8,GSN,GRIN1,ST6GAL1,GLRA1,GRIN2B,DMAP1,NEU2,CHAT,TP53INP1,HMGCS2,BDH1,GABBR1,S100A8,BAD,NPPC,TYMS,CD27,MGMT,CDK1,CDO1,AVP,CCNE1,CCL5,RBP4,IL4,OGG1,GLRA2,MSTN,CRH,CCND1,SPARC,ACTC1,ICAM1,G6PD,GNRH1,TNC,RXRA,GRIN3A,APOBEC1,NQO1,CDK2,GRIN2A,TRH,PSMD14,STAR,ITPR2,NTRK1,STAT3,SLC6A3,TH,GATA3,FECH,UROD,GOT2,FYN,DRD3,CCL2,HTR1B,CAT,AACS,CHRNB2,PEMT,ADIPOQ,CD14,ALAD,IGF2,BGLAP,PRKAA1,ADCYAP1R1,IL13,CYP2E1,USP46,ADH7,PRKCE,UNC79
GO_SULFUR_COMPOUND_METABOLIC_PROCESS http://www.broadinstitute.org/gsea/msigdb/cards/GO_SULFUR_COMPOUND_METABOLIC_PROCESS CLIC6,B3GAT1,PAPSS2,ACPP,LIPC,TXNDC8,GPC1,DNMT3B,B3GNT4,GDAP1,HS3ST4,HS6ST3,TPST1,ACSM2A,SPOCK3,ELOVL6,DGAT2,CHST14,SULT4A1,VNN1,GGTLC3,TKTL1,MTHFD2L,PCCB,MAT1A,HSD17B12,LIAS,HPGDS,CNDP2,GSTM3,TXN2,HSD17B4,CHST1,DLAT,CLIC1,EEF1G,CSPG4,NUDT7,SUCLG1,STAT5B,SULT1A2,GSR,GSTA5,ACSL6,B4GALT1,SLC25A1,PRELP,GPX1,PHGDH,SCD5,DGAT1,LUM,GLO1,ACACB,OGN,GNMT,ACSF3,CHST4,CBS,DNMT1,MRI1,GGTLC1,TECR,PPT1,B3GNT1,GALNS,HS6ST1,AGPAT6,ST3GAL6,MGST3,VNN3,ISCA1,NDST1,GSTA4,DNMT3A,ACOT11,NFS1,IDS,ACSS1,NDST2,GSTT1,EEF1E1,CLIC4,CHPF2,ACSS2,ELOVL1,BTD,PEMT,GGT7,HEXB,CHPF,CHAC1,SMS,MTRR,GGT5,GSTM5,SULT2B1,GSTA1,LIPT2,IMPAD1,MSRA,XYLT2,ICMT,DPEP1,XYLT1,PMVK,GGTA1P,ACSBG2,GSTK1,ISCA2,ACOT8,HS6ST2,GSTO2,NOX4,AKR1A1,MVD,ADO,PAX8,PTPLA,EGFLAM,GSS,MGST2,OMD,VNN2,ACOT4,ACOT9,GGT1,ELOVL5,GAMT,ELOVL7,GAL3ST3,MLYCD,HLCS,GPAM,ACSM4,CLIC2,TPST2,SPOCK2,ENOPH1,VANGL2,SLC26A1,THTPA,TDO2,SULT1E1,B4GALT4,PDHA1,PC,TXNL1,MAT2A,CHAC2,B3GAT2,GNS,ACOT2,IDUA,OGDH,FAR2,EIF2B1,GSTA3,UST,ACSBG1,PCYOX1,B3GNT3,CHST11,PTPLB,AMD1,SLC19A2,GSTM1,CLIC5,AADAT,SUCLG2,CACNA1A,EXTL1,HEXA,GSTT2B,HS3ST5,NCAN,PDHB,GSTM4,IDH1,KYNU,GSTT2,THEM5,TXNDC2,PCCA,EXTL2,GLRX2,ARSB,CHST3,MPST,SULT1A3,BCAN,GCLC,B3GALT6,HPSE,ACSL5,OCLN,ENPP1,PCYOX1L,CPS1,BGN,PIPOX,CSPG5,B3GAT3,SUCLA2,NDST4,OPLAH,NDST3,SLC26A2,GSTM2,BHMT2,CHST8,CHSY1,ANGPT1,CHST5,MTHFR,HAGH,AHCYL1,GSTP1,SLC35D1,CTNS,AGXT,CHST15,SLC19A3,MCCC2,MUT,HS3ST3B1,GAL3ST4,MICAL2,CHST6,GCDH,HMGCL,SOD1,MTAP,BPNT1,ACSL4,MTHFD1,NDNF,APIP,PAPSS1,AGK,AHCYL2,GGTLC2,STAT5A,SUOX,CYTL1,HYAL4,BRP44,CTH,HNF4A,SULT1C2,ABHD14B,GGT2,GCLM,SULT1C4,DSE,OXSM,CSGALNACT2,ACLY,CHST9,ST3GAL3,SULF1,B4GALT5,THEM4,LOC344967,KEAP1,FMOD,B3GNT2,PPT2,ACOT12,EXTL3,CHST13,MCCC1,SLC35D2,ELOVL3,MGST1,DLST,ELOVL2,SLC5A6,ADI1,GSTO1,SQRDL,GDAP1L1,EXT2,GSTZ1,AASS,ALDH5A1,SCD,SULT1C3,BRP44L,ST3GAL1,ACPL2,GLCE,SULT1A1,PDHA2,SLC35B3,NAT8,EXT1,LPO,CHST12,ST3GAL2,DCN,GHR,ACOT13,ACOT1,GSTA2,DLD,VCAN,BAAT,ACSL1,SLC35B2,GGT3P,CSGALNACT1,TPK1,HYAL1,GLB1,MVK,MCEE,CHSY3,CLIC3,SULT2A1,CHST2,B4GALT3,BHMT,ACSF2,CSAD,MAT2B,B4GALT6,ACACA,PDZD11,GGT6,GGCT,ETHE1,SLC25A10,B3GNT7,EIF2B2,CHST7,B4GALT2,ACOT7,EIF2B4,TXN,G6PD,MICAL1,ESD,FAR1,KERA,GLYAT,ST3GAL4,DSEL,PDHX,CDO1,SULF2,FASN,MTR,ARSG,ACAN,ACOT6,AHCY,SULT1B1,ACSL3
GO_POSITIVE_REGULATION_OF_TYROSINE_PHOSPHORYLATION_OF_STAT1_PROTEIN http://www.broadinstitute.org/gsea/msigdb/cards/GO_POSITIVE_REGULATION_OF_TYROSINE_PHOSPHORYLATION_OF_STAT1_PROTEIN TNFRSF1A,IL6ST,IL21,TNFSF18,LIF,HPX,CD40,FGFR3,IFNG,TNFRSF18,KIT
GO_REGULATION_OF_CELL_CYCLE_CHECKPOINT http://www.broadinstitute.org/gsea/msigdb/cards/GO_REGULATION_OF_CELL_CYCLE_CHECKPOINT TPR,USP44,C11orf51,DDX39B,GSG2,NDRG1,FEM1B,AKT1,RINT1,GEN1,THOC1,KIAA1967,CRY1,DYNC1LI1,CUL4A,PROX1,RNASEH2B,RPA2,CDK5RAP2,BRD4,LCMT1,THOC5,PCID2,MAD2L1,XRCC3,CCNB1,DUSP1,RFWD3,CHEK2
GO_NEGATIVE_REGULATION_OF_TRANSCRIPTION_REGULATORY_REGION_DNA_BINDING http://www.broadinstitute.org/gsea/msigdb/cards/GO_NEGATIVE_REGULATION_OF_TRANSCRIPTION_REGULATORY_REGION_DNA_BINDING HAND1,ID1,SOX11,HEY1,GATA1,PPARA,SRI,MSX1,LHX2,ZNF675,MSX2,PER2,HEY2,DDIT3,MAD2L2,ANKRD33,SIN3A
